		PC	BP	SP	Stack
Initial values:	0	499	500

  JMP 0 75 	75	499	500	
  INC 0 5 	78	499	495	0 0 0 0 0 
  LIT 0 4 	81	499	494	0 0 0 0 0 4 
  STO 0 4 	84	499	495	0 0 0 0 4 
  CAL 0 6 	6	494	495	0 0 0 0 4 
  INC 0 4 	9	494	491	0 0 0 0 4 | 499 499 87 0 
  LOD 1 4 	12	494	490	0 0 0 0 4 | 499 499 87 0 4 
  STO 0 3 	15	494	491	0 0 0 0 4 | 499 499 87 4 
  LOD 1 4 	18	494	490	0 0 0 0 4 | 499 499 87 4 4 
  LIT 0 1 	21	494	489	0 0 0 0 4 | 499 499 87 4 4 1 
  SUB 0 2 	24	494	490	0 0 0 0 4 | 499 499 87 4 3 
  STO 1 4 	27	494	491	0 0 0 0 3 | 499 499 87 4 
  LOD 1 4 	30	494	490	0 0 0 0 3 | 499 499 87 4 3 
  LIT 0 0 	33	494	489	0 0 0 0 3 | 499 499 87 4 3 0 
  EQL 0 5 	36	494	490	0 0 0 0 3 | 499 499 87 4 0 
  JPC 0 45 	45	494	491	0 0 0 0 3 | 499 499 87 4 
  LOD 1 4 	48	494	490	0 0 0 0 3 | 499 499 87 4 3 
  LIT 0 0 	51	494	489	0 0 0 0 3 | 499 499 87 4 3 0 
  GTR 0 9 	54	494	490	0 0 0 0 3 | 499 499 87 4 1 
  JPC 0 60 	57	494	491	0 0 0 0 3 | 499 499 87 4 
  CAL 1 6 	6	490	491	0 0 0 0 3 | 499 499 87 4 
  INC 0 4 	9	490	487	0 0 0 0 3 | 499 499 87 4 | 499 494 60 0 
  LOD 1 4 	12	490	486	0 0 0 0 3 | 499 499 87 4 | 499 494 60 0 3 
  STO 0 3 	15	490	487	0 0 0 0 3 | 499 499 87 4 | 499 494 60 3 
  LOD 1 4 	18	490	486	0 0 0 0 3 | 499 499 87 4 | 499 494 60 3 3 
  LIT 0 1 	21	490	485	0 0 0 0 3 | 499 499 87 4 | 499 494 60 3 3 1 
  SUB 0 2 	24	490	486	0 0 0 0 3 | 499 499 87 4 | 499 494 60 3 2 
  STO 1 4 	27	490	487	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 
  LOD 1 4 	30	490	486	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 2 
  LIT 0 0 	33	490	485	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 2 0 
  EQL 0 5 	36	490	486	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 0 
  JPC 0 45 	45	490	487	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 
  LOD 1 4 	48	490	486	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 2 
  LIT 0 0 	51	490	485	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 2 0 
  GTR 0 9 	54	490	486	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 1 
  JPC 0 60 	57	490	487	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 
  CAL 1 6 	6	486	487	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 
  INC 0 4 	9	486	483	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 | 499 490 60 0 
  LOD 1 4 	12	486	482	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 | 499 490 60 0 2 
  STO 0 3 	15	486	483	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 
  LOD 1 4 	18	486	482	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 2 
  LIT 0 1 	21	486	481	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 2 1 
  SUB 0 2 	24	486	482	0 0 0 0 2 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 1 
  STO 1 4 	27	486	483	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 
  LOD 1 4 	30	486	482	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 1 
  LIT 0 0 	33	486	481	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 1 0 
  EQL 0 5 	36	486	482	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 0 
  JPC 0 45 	45	486	483	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 
  LOD 1 4 	48	486	482	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 1 
  LIT 0 0 	51	486	481	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 1 0 
  GTR 0 9 	54	486	482	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 1 
  JPC 0 60 	57	486	483	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 
  CAL 1 6 	6	482	483	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 
  INC 0 4 	9	482	479	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 0 
  LOD 1 4 	12	482	478	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 0 1 
  STO 0 3 	15	482	479	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 
